iter	Passed	Remaining
0	0	350
1	0	291
2	1	424
3	1	419
4	2	427
5	2	455
6	3	545
7	4	586
8	5	652
9	6	647
10	7	630
11	7	596
12	7	596
13	8	581
14	8	558
15	8	543
16	9	524
17	9	511
18	9	511
19	10	514
20	11	513
21	11	506
22	11	493
23	11	481
24	12	469
25	12	459
26	12	452
27	13	451
28	13	454
29	13	448
30	14	443
31	14	438
32	14	439
33	15	443
34	16	450
35	17	455
36	17	461
37	18	460
38	18	455
39	18	448
40	18	443
41	19	448
42	20	448
43	20	450
44	21	454
45	22	456
46	22	456
47	23	458
48	23	460
49	24	461
50	24	461
51	25	463
52	25	462
53	26	458
54	26	458
55	27	460
56	27	460
57	28	463
58	29	466
59	30	470
60	30	468
61	30	465
62	31	461
63	31	459
64	31	459
65	32	460
66	33	460
67	33	459
68	34	459
69	34	460
70	35	462
71	35	461
72	36	460
73	36	460
74	37	459
75	37	459
76	38	458
77	38	456
78	39	455
79	39	454
80	39	453
81	40	450
82	40	450
83	41	451
84	42	452
85	42	452
86	43	451
87	43	450
88	43	448
89	44	447
90	44	445
91	44	443
92	45	442
93	45	440
94	46	439
95	46	437
96	46	435
97	47	434
98	47	432
99	47	430
100	48	428
101	48	427
102	48	426
103	49	425
104	49	423
105	50	421
106	50	420
107	50	418
108	51	416
109	51	414
110	51	413
111	51	411
112	52	409
113	52	407
114	52	406
115	53	404
116	53	402
117	53	400
118	53	398
119	54	397
120	54	395
121	54	393
122	55	392
123	55	391
124	55	390
125	56	389
126	56	388
127	56	387
128	57	385
129	57	383
130	57	382
131	57	380
132	58	378
133	58	377
134	58	375
135	58	373
136	59	371
137	59	370
138	59	368
139	59	366
140	59	365
141	60	363
142	60	361
143	60	359
144	60	358
145	60	356
146	61	355
147	61	353
148	61	352
149	61	350
150	62	349
151	62	347
152	62	346
153	62	345
154	63	344
155	63	342
156	63	341
157	63	339
158	63	338
159	64	337
160	64	335
161	64	334
162	64	333
163	65	331
164	65	330
165	65	329
166	65	328
167	65	326
168	66	325
169	66	324
170	66	322
171	66	321
172	67	320
173	67	319
174	67	318
175	67	316
176	67	315
177	68	314
178	68	313
179	68	312
180	68	311
181	68	310
182	69	308
183	69	308
184	69	307
185	70	307
186	70	306
187	70	305
188	71	304
189	71	303
190	71	302
191	71	301
192	71	300
193	72	299
194	72	298
195	72	298
196	72	297
197	73	296
198	73	295
199	73	294
200	73	293
201	74	292
202	74	291
203	74	290
204	74	289
205	74	288
206	75	287
207	75	286
208	75	286
209	75	285
210	76	284
211	76	283
212	76	282
213	76	281
214	76	280
215	77	279
216	77	279
217	77	278
218	77	277
219	77	276
220	78	275
221	78	274
222	78	274
223	78	273
224	79	272
225	79	271
226	79	270
227	79	270
228	79	269
229	80	268
230	80	267
231	80	266
232	80	266
233	81	265
234	81	264
235	81	263
236	81	262
237	81	262
238	82	261
239	82	260
240	82	260
241	82	259
242	83	259
243	83	258
244	83	258
245	84	258
246	84	257
247	84	257
248	85	256
249	85	256
250	85	255
251	85	254
252	86	254
253	86	253
254	86	252
255	86	251
256	86	251
257	87	250
258	87	249
259	87	249
260	87	248
261	88	247
262	88	247
263	88	246
264	88	246
265	88	245
266	89	244
267	89	244
268	89	243
269	89	242
270	90	242
271	90	241
272	90	241
273	90	240
274	91	240
275	91	239
276	91	238
277	91	238
278	91	237
279	92	237
280	92	236
281	92	235
282	92	235
283	93	234
284	93	234
285	93	233
286	93	232
287	93	232
288	94	231
289	94	230
290	94	230
291	94	229
292	95	229
293	95	228
294	95	228
295	95	227
296	95	226
297	96	226
298	96	225
299	96	225
300	96	224
301	97	224
302	97	223
303	97	223
304	97	223
305	98	222
306	98	222
307	98	222
308	99	221
309	99	220
310	99	220
311	99	219
312	99	219
313	100	218
314	100	218
315	100	217
316	100	217
317	101	216
318	101	216
319	101	215
320	101	215
321	101	214
322	102	214
323	102	213
324	102	213
325	102	212
326	103	212
327	103	211
328	103	211
329	103	210
330	104	210
331	104	209
332	104	209
333	104	208
334	104	208
335	105	207
336	105	207
337	105	206
338	105	206
339	106	205
340	106	205
341	106	204
342	106	204
343	106	203
344	107	203
345	107	202
346	107	202
347	107	202
348	108	201
349	108	201
350	108	200
351	108	200
352	108	199
353	109	199
354	109	198
355	109	198
356	109	197
357	110	197
358	110	196
359	110	196
360	110	195
361	111	195
362	111	195
363	111	195
364	111	194
365	112	194
366	112	194
367	113	194
368	113	193
369	113	193
370	113	192
371	114	192
372	114	192
373	114	192
374	115	191
375	115	191
376	115	190
377	115	190
378	115	190
379	116	189
380	116	189
381	116	188
382	116	188
383	117	187
384	117	187
385	117	186
386	117	186
387	117	186
388	118	185
389	118	185
390	118	184
391	118	184
392	119	183
393	119	183
394	119	183
395	119	182
396	120	182
397	120	181
398	120	181
399	120	181
400	120	180
401	121	180
402	121	179
403	121	179
404	121	178
405	122	178
406	122	178
407	122	177
408	122	177
409	122	176
410	123	176
411	123	176
412	123	175
413	123	175
414	124	174
415	124	174
416	124	174
417	124	173
418	125	173
419	125	173
420	125	172
421	125	172
422	126	172
423	126	171
424	126	171
425	127	171
426	127	170
427	127	170
428	127	170
429	128	169
430	128	169
431	128	168
432	128	168
433	128	168
434	129	167
435	129	167
436	129	166
437	129	166
438	130	166
439	130	165
440	130	165
441	130	165
442	130	164
443	131	164
444	131	163
445	131	163
446	131	163
447	132	162
448	132	162
449	132	161
450	132	161
451	133	161
452	133	160
453	133	160
454	133	160
455	133	159
456	134	159
457	134	159
458	134	158
459	134	158
460	135	157
461	135	157
462	135	157
463	135	156
464	135	156
465	136	156
466	136	155
467	136	155
468	136	154
469	137	154
470	137	154
471	137	153
472	137	153
473	137	153
474	138	152
475	138	152
476	138	151
477	138	151
478	138	151
479	139	150
480	139	150
481	139	150
482	140	149
483	140	149
484	140	149
485	141	149
486	141	148
487	141	148
488	141	148
489	141	147
490	142	147
491	142	147
492	142	146
493	142	146
494	143	145
495	143	145
496	143	145
497	143	144
498	144	144
499	144	144
500	144	143
501	144	143
502	144	143
503	145	142
504	145	142
505	145	142
506	145	141
507	145	141
508	146	141
509	146	140
510	146	140
511	146	140
512	147	139
513	147	139
514	147	139
515	147	138
516	148	138
517	148	138
518	148	137
519	148	137
520	149	137
521	149	136
522	149	136
523	149	135
524	149	135
525	150	135
526	150	134
527	150	134
528	150	134
529	150	133
530	151	133
531	151	133
532	151	132
533	151	132
534	152	132
535	152	131
536	152	131
537	152	131
538	152	130
539	153	130
540	153	130
541	153	130
542	154	129
543	154	129
544	154	129
545	155	129
546	155	128
547	155	128
548	155	128
549	156	127
550	156	127
551	156	127
552	156	126
553	157	126
554	157	126
555	157	125
556	157	125
557	157	125
558	158	124
559	158	124
560	158	124
561	158	123
562	159	123
563	159	123
564	159	122
565	159	122
566	159	122
567	160	121
568	160	121
569	160	121
570	160	120
571	161	120
572	161	120
573	161	119
574	161	119
575	162	119
576	162	118
577	162	118
578	162	118
579	162	117
580	163	117
581	163	117
582	163	116
583	163	116
584	163	116
585	164	116
586	164	115
587	164	115
588	164	115
589	165	114
590	165	114
591	165	114
592	165	113
593	166	113
594	166	113
595	166	112
596	166	112
597	166	112
598	167	111
599	167	111
600	167	111
601	168	111
602	168	110
603	168	110
604	169	110
605	169	110
606	169	109
607	170	109
608	170	109
609	170	109
610	170	108
611	171	108
612	171	108
613	171	107
614	171	107
615	171	107
616	172	106
617	172	106
618	172	106
619	172	105
620	173	105
621	173	105
622	173	104
623	173	104
624	173	104
625	174	104
626	174	103
627	174	103
628	174	103
629	175	102
630	175	102
631	175	102
632	175	101
633	176	101
634	176	101
635	176	100
636	176	100
637	176	100
638	177	100
639	177	99
640	177	99
641	177	99
642	178	98
643	178	98
644	178	98
645	178	97
646	178	97
647	179	97
648	179	96
649	179	96
650	179	96
651	180	96
652	180	95
653	180	95
654	180	95
655	180	94
656	181	94
657	181	94
658	181	94
659	182	93
660	182	93
661	182	93
662	182	93
663	183	92
664	183	92
665	183	92
666	183	91
667	184	91
668	184	91
669	184	90
670	184	90
671	185	90
672	185	90
673	185	89
674	185	89
675	185	89
676	186	88
677	186	88
678	186	88
679	186	87
680	186	87
681	187	87
682	187	86
683	187	86
684	187	86
685	188	86
686	188	85
687	188	85
688	188	85
689	189	84
690	189	84
691	189	84
692	189	84
693	189	83
694	190	83
695	190	83
696	190	82
697	190	82
698	191	82
699	191	81
700	191	81
701	191	81
702	191	81
703	192	80
704	192	80
705	192	80
706	192	79
707	193	79
708	193	79
709	193	79
710	193	78
711	193	78
712	194	78
713	194	77
714	194	77
715	194	77
716	194	76
717	195	76
718	195	76
719	195	76
720	196	75
721	196	75
722	197	75
723	197	75
724	197	74
725	197	74
726	198	74
727	198	74
728	198	73
729	198	73
730	198	73
731	199	72
732	199	72
733	199	72
734	199	72
735	200	71
736	200	71
737	200	71
738	200	70
739	200	70
740	201	70
741	201	70
742	201	69
743	201	69
744	202	69
745	202	68
746	202	68
747	202	68
748	203	68
749	203	67
750	203	67
751	203	67
752	203	66
753	204	66
754	204	66
755	204	66
756	204	65
757	205	65
758	205	65
759	205	64
760	205	64
761	205	64
762	206	64
763	206	63
764	206	63
765	206	63
766	207	62
767	207	62
768	207	62
769	207	62
770	207	61
771	208	61
772	208	61
773	208	60
774	208	60
775	209	60
776	210	60
777	210	60
778	210	59
779	211	59
780	211	59
781	211	59
782	211	58
783	212	58
784	212	58
785	212	57
786	213	57
787	213	57
788	213	57
789	213	56
790	214	56
791	214	56
792	214	56
793	214	55
794	215	55
795	215	55
796	215	54
797	215	54
798	216	54
799	216	54
800	216	53
801	216	53
802	217	53
803	217	52
804	217	52
805	217	52
806	218	52
807	218	51
808	218	51
809	218	51
810	219	51
811	219	50
812	219	50
813	219	50
814	220	49
815	220	49
816	220	49
817	220	49
818	221	48
819	221	48
820	221	48
821	221	48
822	222	47
823	222	47
824	222	47
825	222	46
826	222	46
827	223	46
828	223	46
829	223	45
830	223	45
831	224	45
832	224	45
833	224	44
834	225	44
835	225	44
836	225	43
837	225	43
838	226	43
839	226	43
840	226	42
841	226	42
842	226	42
843	227	41
844	227	41
845	227	41
846	227	41
847	228	40
848	228	40
849	228	40
850	228	40
851	229	39
852	229	39
853	229	39
854	229	38
855	229	38
856	230	38
857	230	38
858	230	37
859	230	37
860	230	37
861	231	37
862	231	36
863	231	36
864	231	36
865	232	35
866	232	35
867	232	35
868	232	35
869	233	34
870	233	34
871	233	34
872	233	33
873	233	33
874	234	33
875	234	33
876	234	32
877	234	32
878	234	32
879	235	32
880	235	31
881	235	31
882	235	31
883	236	30
884	236	30
885	236	30
886	236	30
887	236	29
888	237	29
889	237	29
890	237	29
891	237	28
892	238	28
893	238	28
894	238	28
895	239	27
896	239	27
897	239	27
898	240	26
899	240	26
900	240	26
901	240	26
902	241	25
903	241	25
904	241	25
905	241	25
906	242	24
907	242	24
908	242	24
909	243	24
910	243	23
911	243	23
912	244	23
913	244	22
914	244	22
915	245	22
916	245	22
917	245	21
918	245	21
919	246	21
920	246	21
921	246	20
922	246	20
923	247	20
924	247	20
925	247	19
926	247	19
927	247	19
928	248	18
929	248	18
930	248	18
931	248	18
932	249	17
933	249	17
934	249	17
935	249	17
936	249	16
937	250	16
938	250	16
939	250	15
940	250	15
941	251	15
942	251	15
943	251	14
944	251	14
945	252	14
946	252	14
947	252	13
948	252	13
949	253	13
950	253	13
951	253	12
952	254	12
953	254	12
954	254	12
955	254	11
956	255	11
957	255	11
958	255	10
959	256	10
960	256	10
961	256	10
962	256	9
963	257	9
964	257	9
965	257	9
966	257	8
967	257	8
968	258	8
969	258	7
970	258	7
971	259	7
972	259	7
973	259	6
974	259	6
975	260	6
976	260	6
977	260	5
978	260	5
979	261	5
980	261	5
981	261	4
982	261	4
983	261	4
984	262	3
985	262	3
986	262	3
987	262	3
988	263	2
989	263	2
990	263	2
991	263	2
992	263	1
993	264	1
994	264	1
995	264	1
996	264	0
997	265	0
998	265	0
999	265	0
